,foreigner,national_group,province_resid,age_atmaincrime,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_year,province_execution,maincrime_program2,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,recid15_dummy,savry,female,foreigner_fem,national_group_fem,national_group_foreign,province_resid_fem,province_resid_foreign,age_atmaincrime_fem,age_atmaincrime_foreign,priorcrimes_dummy_fem,priorcrimes_dummy_foreign,priorcrimes_number_group_fem,priorcrimes_number_group_foreign,maincrime_cat_fem,maincrime_cat_foreign,maincrime_violent_fem,maincrime_violent_foreign,totalmaincrimes_number_fem,totalmaincrimes_number_foreign,maincrime_year_fem,maincrime_year_foreign,province_execution_fem,province_execution_foreign,maincrime_program2_fem,maincrime_program2_foreign,maincrime_programduration_group_fem,maincrime_programduration_group_foreign,V28_temps_inici_fem,V28_temps_inici_foreign,V29_durada_programa_fem,V29_durada_programa_foreign,female_foreign
13,True,Centre i Sud Amèrica,Barcelona,17.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,43.0,16,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,17.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2010,Baseline,Barcelona,Baseline,ATM,0.0,0.0,0.0,43.0,0,16,False
14,False,Spain,Lleida,16.0,1,0.5,Contra les persones,1,2,2010,Lleida,ATM,0.0,44.0,0,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
15,True,Centre i Sud Amèrica,Barcelona,17.0,1,0.0,Contra les persones,1,1,2009,Barcelona,Mesures d'execució,0.0,284.0,54,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,17.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,284.0,0,54,False
16,False,Spain,Barcelona,17.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,78.0,2,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
17,True,Centre i Sud Amèrica,Tarragona,16.0,1,1.0,Contra les persones,1,3,2010,Tarragona,Mesures d'execució,0.0,125.0,86,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Tarragona,0.0,16.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,3,0,2010,Baseline,Tarragona,Baseline,Mesures d'execució,0.0,0.0,0.0,125.0,0,86,False
18,False,Spain,Barcelona,15.0,1,0.5,Contra les persones,1,2,2006,Girona,Mesures d'execució,1.0,914.0,657,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
19,False,Spain,Barcelona,15.0,1,1.0,Contra les persones,1,12,2005,Barcelona,Mesures d'execució,1.0,83.0,1750,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
20,False,Spain,Barcelona,17.0,1,1.0,Contra les persones,1,8,2008,Barcelona,Mesures d'execució,0.5,240.0,268,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
21,False,Spain,Girona,14.0,1,0.5,Contra les persones,1,2,2009,Girona,Mesures d'execució,0.5,379.0,213,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
22,False,Spain,Barcelona,17.0,1,0.5,Contra les persones,1,2,2008,Barcelona,Mesures d'execució,0.0,612.0,119,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
23,False,Spain,Barcelona,17.0,1,0.0,Contra les persones,1,1,2008,Barcelona,Mesures d'execució,0.5,497.0,220,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
24,True,Magrib,Barcelona,16.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,69.0,15,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,16.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2010,Baseline,Barcelona,Baseline,ATM,0.0,0.0,0.0,69.0,0,15,False
25,False,Spain,Barcelona,16.0,1,0.5,Contra les persones,1,2,2010,Barcelona,ATM,0.0,56.0,55,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
26,False,Spain,Barcelona,16.0,1,0.5,Contra les persones,1,2,2010,Barcelona,ATM,0.0,91.0,6,1,True,True,False,Spain,Baseline,Barcelona,Baseline,16.0,0.0,1,0,0.5,0.0,Contra les persones,Baseline,1,0,2,0,2010,0,Barcelona,Baseline,ATM,Baseline,0.0,0.0,91.0,0.0,6,0,False
27,False,Spain,Tarragona,15.0,1,0.5,Contra les persones,1,2,2009,Tarragona,Mesures d'execució,0.5,90.0,208,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
28,True,Centre i Sud Amèrica,Tarragona,17.0,1,0.5,Contra les persones,1,2,2007,Barcelona,Mesures d'execució,1.0,635.0,425,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Tarragona,0.0,17.0,0,1,0.0,0.5,Baseline,Contra les persones,0,1,0,2,0,2007,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,1.0,0.0,635.0,0,425,False
