entity_id,score,label_value,race,sex,age_cat
1476,False,True,Espanyol,Home,16 i 17 anys
2500,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
4518,True,True,Espanyol,Home,16 i 17 anys
295,False,True,Espanyol,Home,14 i 15 anys
2066,True,True,Magrib,Home,14 i 15 anys
1300,True,True,Europa,Home,16 i 17 anys
2329,True,True,Espanyol,Home,16 i 17 anys
2447,True,True,Espanyol,Home,16 i 17 anys
848,True,True,Espanyol,Home,16 i 17 anys
2604,False,True,Magrib,Home,16 i 17 anys
3884,True,True,Magrib,Home,14 i 15 anys
1911,True,True,Espanyol,Home,16 i 17 anys
4539,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
674,True,True,Espanyol,Home,14 i 15 anys
3532,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
4564,False,True,Espanyol,Home,16 i 17 anys
885,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
407,False,True,Espanyol,Home,16 i 17 anys
1398,False,True,Magrib,Home,16 i 17 anys
396,False,True,Espanyol,Home,14 i 15 anys
1601,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
1253,True,True,Espanyol,Home,16 i 17 anys
635,True,True,Magrib,Home,16 i 17 anys
2348,False,True,Magrib,Home,16 i 17 anys
1451,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
3203,True,True,Espanyol,Home,16 i 17 anys
4623,False,True,Europa,Home,16 i 17 anys
2327,True,True,Espanyol,Dona,14 i 15 anys
609,False,True,Espanyol,Home,16 i 17 anys
2743,False,True,Espanyol,Dona,16 i 17 anys
3386,False,True,Magrib,Home,14 i 15 anys
2354,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
3435,True,True,Espanyol,Home,14 i 15 anys
3449,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
425,False,True,Magrib,Home,16 i 17 anys
2190,True,True,Espanyol,Home,14 i 15 anys
2677,True,True,Magrib,Home,14 i 15 anys
4058,False,True,Magrib,Home,14 i 15 anys
1698,False,True,Magrib,Home,14 i 15 anys
388,False,True,Centre i Sud Amèrica,Home,14 i 15 anys
4384,True,True,Magrib,Home,16 i 17 anys
3395,True,True,Magrib,Home,16 i 17 anys
1206,True,True,Espanyol,Dona,14 i 15 anys
3391,False,True,Magrib,Home,14 i 15 anys
2750,False,True,Espanyol,Home,16 i 17 anys
4522,False,True,Espanyol,Home,14 i 15 anys
2028,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
590,False,True,Espanyol,Home,16 i 17 anys
1795,True,True,Espanyol,Home,16 i 17 anys
4818,False,True,Espanyol,Home,14 i 15 anys
4340,False,True,Espanyol,Home,14 i 15 anys
4712,False,True,Europa,Home,16 i 17 anys
640,False,True,Espanyol,Home,14 i 15 anys
4614,False,True,Espanyol,Home,16 i 17 anys
836,False,True,Espanyol,Home,16 i 17 anys
915,True,True,Espanyol,Home,16 i 17 anys
748,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
4470,True,True,Espanyol,Home,14 i 15 anys
438,True,True,Europa,Dona,16 i 17 anys
4607,True,True,Espanyol,Home,16 i 17 anys
1617,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
1624,False,True,Magrib,Home,14 i 15 anys
2713,False,True,Espanyol,Home,16 i 17 anys
4642,False,True,Europa,Dona,16 i 17 anys
2201,False,True,Espanyol,Home,16 i 17 anys
891,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
1775,False,True,Espanyol,Home,14 i 15 anys
4396,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
4751,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
2043,True,True,Europa,Dona,16 i 17 anys
2934,False,True,Magrib,Home,14 i 15 anys
1047,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
4572,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
3945,True,True,Espanyol,Home,16 i 17 anys
3903,False,True,Espanyol,Home,16 i 17 anys
3794,False,True,Espanyol,Home,16 i 17 anys
1001,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
363,True,True,Espanyol,Home,16 i 17 anys
1570,False,True,Espanyol,Home,14 i 15 anys
1224,True,True,Espanyol,Dona,16 i 17 anys
4170,False,True,Espanyol,Home,16 i 17 anys
127,True,True,Espanyol,Home,16 i 17 anys
2525,True,True,Magrib,Home,16 i 17 anys
319,False,True,Espanyol,Home,16 i 17 anys
211,False,True,Espanyol,Home,14 i 15 anys
3727,False,True,Espanyol,Home,16 i 17 anys
1537,False,True,Espanyol,Home,16 i 17 anys
2276,False,True,Espanyol,Home,14 i 15 anys
460,False,True,Espanyol,Dona,14 i 15 anys
2155,True,True,Magrib,Home,16 i 17 anys
1520,False,True,Espanyol,Home,16 i 17 anys
395,False,True,Espanyol,Home,14 i 15 anys
4698,False,True,Espanyol,Home,14 i 15 anys
4005,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
2251,False,True,Espanyol,Home,14 i 15 anys
3231,False,True,Espanyol,Home,14 i 15 anys
3202,True,True,Magrib,Home,16 i 17 anys
2402,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
1016,False,True,Magrib,Home,16 i 17 anys
2599,False,True,Espanyol,Home,16 i 17 anys
3501,False,True,Espanyol,Dona,14 i 15 anys
3110,False,True,Magrib,Home,16 i 17 anys
3731,False,True,Espanyol,Home,16 i 17 anys
3190,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
753,False,True,Espanyol,Home,14 i 15 anys
3689,False,True,Magrib,Home,14 i 15 anys
3825,False,True,Magrib,Home,14 i 15 anys
4293,False,True,Espanyol,Home,16 i 17 anys
2022,False,True,Magrib,Home,14 i 15 anys
488,False,True,Espanyol,Home,14 i 15 anys
3219,False,True,Espanyol,Dona,14 i 15 anys
1868,False,True,Magrib,Home,16 i 17 anys
1615,False,True,Magrib,Home,16 i 17 anys
2998,False,True,Centre i Sud Amèrica,Home,14 i 15 anys
812,False,True,Espanyol,Home,14 i 15 anys
424,False,True,Espanyol,Home,16 i 17 anys
3379,True,False,Espanyol,Dona,16 i 17 anys
2109,True,False,Magrib,Home,16 i 17 anys
426,True,False,Espanyol,Home,14 i 15 anys
1081,True,False,Europa,Home,16 i 17 anys
1234,True,False,Europa,Dona,16 i 17 anys
380,False,True,Espanyol,Home,14 i 15 anys
3859,True,False,Espanyol,Dona,14 i 15 anys
4479,True,False,Espanyol,Home,16 i 17 anys
2783,False,True,Espanyol,Home,16 i 17 anys
4666,True,False,Espanyol,Home,16 i 17 anys
846,False,False,Espanyol,Home,16 i 17 anys
2805,True,False,Espanyol,Dona,14 i 15 anys
698,False,False,Espanyol,Home,16 i 17 anys
4836,True,True,Espanyol,Dona,16 i 17 anys
2822,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
4242,False,False,Magrib,Dona,16 i 17 anys
1761,True,True,Espanyol,Home,14 i 15 anys
2294,True,False,Espanyol,Home,14 i 15 anys
1891,True,False,Espanyol,Dona,16 i 17 anys
2995,False,False,Espanyol,Home,16 i 17 anys
433,True,False,Magrib,Home,16 i 17 anys
3943,True,False,Espanyol,Home,16 i 17 anys
2326,True,False,Magrib,Home,16 i 17 anys
3935,True,False,Espanyol,Home,14 i 15 anys
4626,True,False,Espanyol,Home,16 i 17 anys
4226,True,False,Espanyol,Home,16 i 17 anys
2492,True,False,Espanyol,Dona,16 i 17 anys
4752,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
4,True,False,Magrib,Home,16 i 17 anys
335,True,False,Espanyol,Home,16 i 17 anys
417,False,False,Espanyol,Dona,16 i 17 anys
1974,True,False,Magrib,Home,16 i 17 anys
4361,True,False,Espanyol,Home,14 i 15 anys
1995,True,False,Magrib,Dona,14 i 15 anys
1033,True,False,Espanyol,Home,16 i 17 anys
1883,True,False,Espanyol,Home,16 i 17 anys
3389,True,False,Espanyol,Home,16 i 17 anys
458,False,False,Espanyol,Home,16 i 17 anys
685,False,False,Espanyol,Dona,16 i 17 anys
4793,True,False,Magrib,Home,16 i 17 anys
4122,True,False,Espanyol,Home,16 i 17 anys
3866,True,False,Magrib,Home,16 i 17 anys
2575,False,False,Magrib,Home,16 i 17 anys
2630,True,False,Espanyol,Home,14 i 15 anys
2583,True,False,Magrib,Home,14 i 15 anys
3754,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
517,True,False,Altres,Home,16 i 17 anys
4565,True,False,Espanyol,Home,16 i 17 anys
2936,False,False,Espanyol,Dona,16 i 17 anys
2448,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
4810,True,False,Altres,Home,16 i 17 anys
1587,True,False,Espanyol,Home,16 i 17 anys
280,True,False,Espanyol,Home,16 i 17 anys
1216,True,False,Espanyol,Home,16 i 17 anys
726,True,False,Magrib,Home,16 i 17 anys
264,False,False,Magrib,Home,16 i 17 anys
3524,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
3412,True,True,Espanyol,Home,14 i 15 anys
320,True,False,Magrib,Home,16 i 17 anys
4314,False,False,Espanyol,Home,14 i 15 anys
2616,False,False,Espanyol,Home,14 i 15 anys
